test_loss:5.893556793530782    test_acc1.1984021304926764
test_loss:5.337326089541118    test_acc2.5299600532623168
test_loss:5.091219425201416    test_acc3.5952063914780292
test_loss:4.789127747217814    test_acc6.524633821571238
test_loss:3.8542087078094482    test_acc16.11185086551265
test_loss:3.599684735139211    test_acc19.04127829560586
test_loss:4.327037314573924    test_acc15.312916111850866
test_loss:3.108729143937429    test_acc25.96537949400799
test_loss:3.0764795541763306    test_acc28.761651131824234
test_loss:3.2578117847442627    test_acc25.96537949400799
test_loss:2.3582672079404197    test_acc43.40878828229028
test_loss:2.619487166404724    test_acc36.61784287616511
test_loss:2.889794190724691    test_acc35.15312916111851
test_loss:2.301211486260096    test_acc43.275632490013315
test_loss:2.2960901955763497    test_acc44.207723035952064
test_loss:2.02786585688591    test_acc46.870838881491345
test_loss:2.7541484236717224    test_acc37.68308921438083
test_loss:4.353677252928416    test_acc26.498002663115845
test_loss:1.9718177020549774    test_acc51.66444740346205
test_loss:2.881843388080597    test_acc38.61517976031958
test_loss:3.0534912943840027    test_acc36.48468708388815
test_loss:2.0704339842001596    test_acc47.802929427430094
test_loss:2.8846885363260903    test_acc38.08255659121172
test_loss:1.9267958203951518    test_acc52.46338215712383
test_loss:2.220574378967285    test_acc47.66977363515313
test_loss:2.2460997502009072    test_acc47.53661784287617
test_loss:1.9633041520913441    test_acc52.06391478029294
test_loss:1.8405286570390065    test_acc54.99334221038615
test_loss:1.8815990289052327    test_acc54.32756324900133
test_loss:2.2364082634449005    test_acc47.13715046604527
test_loss:2.3629871110121408    test_acc43.54194407456724
test_loss:1.6307380199432373    test_acc59.387483355525966
test_loss:1.9707918266455333    test_acc53.26231691078562
test_loss:1.7769737144311268    test_acc56.45805592543276
test_loss:1.5268540879090626    test_acc61.51797603195739
test_loss:1.6074795474608738    test_acc61.1185086551265
test_loss:1.9048568308353424    test_acc55.52596537949401
test_loss:2.3757550021012626    test_acc47.270306258322236
test_loss:2.139183600743612    test_acc53.129161118508655
test_loss:1.6044114430745442    test_acc59.78695073235686
test_loss:1.4833902716636658    test_acc64.58055925432757
test_loss:1.9438268740971882    test_acc53.66178428761651
test_loss:1.4941565195719402    test_acc64.58055925432757
test_loss:1.9269786477088928    test_acc54.59387483355526
test_loss:1.4305375913778942    test_acc64.58055925432757
test_loss:2.098293344179789    test_acc52.197070572569906
test_loss:2.1592026551564536    test_acc51.13182423435419
test_loss:1.9466884235541027    test_acc55.25965379494008
test_loss:1.5407595733801525    test_acc61.78428761651132
test_loss:1.6628547608852386    test_acc61.1185086551265
test_loss:1.441327412923177    test_acc64.0479360852197
test_loss:1.44766299923261    test_acc63.914780292942744
test_loss:1.778074602286021    test_acc57.7896138482024
test_loss:1.4567050238450368    test_acc63.78162450066578
test_loss:1.8382962842782338    test_acc55.9254327563249
test_loss:1.561214695374171    test_acc60.98535286284953
test_loss:1.4500556290149689    test_acc63.914780292942744
test_loss:2.167875111103058    test_acc50.06657789613848
test_loss:1.5281938314437866    test_acc63.914780292942744
test_loss:1.832519938548406    test_acc55.12649800266312
test_loss:2.1812917590141296    test_acc49.134487350199734
