test_loss:6.677145679791768    test_acc0.3994673768308921
test_loss:6.21252183119456    test_acc1.1984021304926764
test_loss:5.3921040296554565    test_acc2.796271637816245
test_loss:5.062817335128784    test_acc3.5952063914780292
test_loss:4.48415470123291    test_acc7.1904127829560585
test_loss:4.545989751815796    test_acc9.587217043941411
test_loss:4.302130977312724    test_acc11.451398135818907
test_loss:3.2890230417251587    test_acc22.237017310252995
test_loss:3.062428832054138    test_acc28.362183754993342
test_loss:3.6364338795344033    test_acc21.70439414114514
test_loss:2.866908550262451    test_acc31.824234354194406
test_loss:2.446970949570338    test_acc41.011984021304926
test_loss:2.751966675122579    test_acc34.0878828229028
test_loss:2.353771130243937    test_acc44.74034620505992
test_loss:2.3583061595757804    test_acc40.07989347536618
test_loss:2.01732337474823    test_acc48.06924101198402
test_loss:2.235393395026525    test_acc44.34087882822903
test_loss:2.6664178371429443    test_acc37.949400798934754
test_loss:2.783916930357615    test_acc38.21571238348868
test_loss:1.9450181722640991    test_acc51.93075898801598
test_loss:2.060237338145574    test_acc50.06657789613848
test_loss:2.467519005139669    test_acc45.40612516644474
test_loss:1.8277182281017303    test_acc53.39547270306258
test_loss:1.6865985294183095    test_acc58.988015978695074
test_loss:2.4204940497875214    test_acc45.27296937416778
test_loss:1.9965320825576782    test_acc50.865512649800266
test_loss:2.428368161122004    test_acc45.27296937416778
test_loss:1.6861316959063213    test_acc59.387483355525966
test_loss:1.5552055140336354    test_acc60.719041278295606
test_loss:2.482549468676249    test_acc44.34087882822903
test_loss:0.8504345044493675    test_acc78.29560585885486
test_loss:0.7850929399331411    test_acc80.02663115845539
test_loss:0.7401618858178457    test_acc82.02396804260985
test_loss:0.7092748433351517    test_acc82.42343541944075
test_loss:0.694302674382925    test_acc82.42343541944075
test_loss:0.6907685076196989    test_acc82.42343541944075
test_loss:0.6860585510730743    test_acc82.9560585885486
test_loss:0.668909415602684    test_acc82.29027962716378
test_loss:0.6370009457071623    test_acc83.22237017310253
test_loss:0.6553575148185095    test_acc83.3555259653795
test_loss:0.6289181287089983    test_acc84.02130492676432
test_loss:0.6292245636383692    test_acc84.55392809587217
test_loss:0.6488896881540617    test_acc83.48868175765645
test_loss:0.6410429452856382    test_acc83.48868175765645
test_loss:0.617175281047821    test_acc84.02130492676432
test_loss:0.6353021760781606    test_acc83.48868175765645
test_loss:0.6250953922669092    test_acc83.62183754993342
test_loss:0.6069794024030367    test_acc84.8202396804261
test_loss:0.6089947248498598    test_acc84.28761651131825
test_loss:0.6175405383110046    test_acc83.75499334221038
test_loss:0.5999551887313525    test_acc84.8202396804261
test_loss:0.6028685420751572    test_acc85.08655126498003
test_loss:0.5981730806330839    test_acc84.8202396804261
test_loss:0.5914604167143503    test_acc84.95339547270306
test_loss:0.5771414513389269    test_acc86.2849533954727
test_loss:0.5948576206962267    test_acc84.8202396804261
test_loss:0.6031510308384895    test_acc84.15446071904128
test_loss:0.5904694820443789    test_acc84.95339547270306
test_loss:0.6119210744897524    test_acc84.68708388814913
test_loss:0.6007825384537379    test_acc84.68708388814913
